Event	ID	Name			Wwise Object Path	Notes
	209243740	ToVictory			\Default Work Unit\Music_states\ToVictory	
	489003304	State_Up			\Default Work Unit\Music events\State_Up	
	775889684	Game_over_too_fast			\Default Work Unit\Music_states\Game_over_too_fast	
	957044181	Game_over_too_slow			\Default Work Unit\Music_states\Game_over_too_slow	
	1203400786	Restart			\Default Work Unit\Music events\Restart	
	1890578599	switchlane			\Default Work Unit\Player\switchlane	
	3579758495	State_down			\Default Work Unit\Music events\State_down	
	3725903807	Music_start			\Default Work Unit\Music events\Music_start	
	4246082459	ToState4			\Default Work Unit\Music_states\ToState4	
	4246082460	ToState3			\Default Work Unit\Music_states\ToState3	
	4246082461	ToState2			\Default Work Unit\Music_states\ToState2	
	4246082462	ToState1			\Default Work Unit\Music_states\ToState1	
	4246082463	ToState0			\Default Work Unit\Music_states\ToState0	

State Group	ID	Name			Wwise Object Path	Notes
	3762137787	Player_life			\Default Work Unit\Player_life	

State	ID	Name	State Group			Notes
	655265632	Alive	Player_life			
	748895195	None	Player_life			
	1398680609	Dead_slow	Player_life			
	3079415640	Dead_fast	Player_life			

Custom State	ID	Name	State Group	Owner		Notes
	8629409	Dead_slow	Player_life	\Interactive Music Hierarchy\Default Work Unit\State_juicy_music		
	677204877	Dead_fast	Player_life	\Interactive Music Hierarchy\Default Work Unit\State_juicy_music		

Effect plug-ins	ID	Name	Type				Notes
	159727642	Eddy_wow	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Eddy_wow_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\Transition\Eddy_wow		213328
	245027827	Daft Punk One More Time Vocal Effect	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Daft Punk One More Time Vocal Effect_346275D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Daft Punk One More Time Vocal Effect		438484
	246611107	Lead_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Lead_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_3\State 3\Lead_stage_1_16mesures_160BPM		4608064
	266514762	Powerdown1	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerdown1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_down\Powerdown1		96064
	284547349	Too_slow	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Too_slow_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_game_over\Too_slow		96064
	308951651	Powerdown2	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerdown2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_down\Powerdown2		192064
	451011026	batterie_stage_2_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\batterie_stage_2_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_4\State 4\batterie_stage_2_16mesures_160BPM		4608064
	454522426	Basse_transition_descente_2_mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Basse_transition_descente_2_mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\Transition_descendante\Basse_transition_descente_2_mesures_160BPM		576064
	508661593	Powerup4	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerup4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_up\Powerup4		18792
	522735093	batterie_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\batterie_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_3\State 3\batterie_stage_1_16mesures_160BPM		4608064
	532793349	Victory theme	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Victory theme_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_victory\Victory theme		360064
	546290330	Déplacement_1	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Déplacement_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Déplacements\Déplacements\Déplacement_1		183884
	606101183	Basse_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Basse_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_3\State 3\Basse_stage_1_16mesures_160BPM		4608064
	684496588	batterie_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\State_3\batterie_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_1\State 1\batterie_stage_1_16mesures_160BPM		4608064
	732126531	Lead_stage_2_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Lead_stage_2_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_4\State 4\Lead_stage_2_16mesures_160BPM		4608064
	750473923	Too_fast_Explosion	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Too_fast_Explosion_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_game_over\Too_fast_Explosion		1702412
	758779315	Lead_transition_descente_2_mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Lead_transition_descente_2_mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\Transition_descendante\Lead_transition_descente_2_mesures_160BPM		576064
	792656206	Powerdown3	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerdown3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_down\Powerdown3		144064
	857495145	Powerup1	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\Powerup1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sons_state_updown\Stage_up\Powerup1		36284
	875802478	basse_stage_2_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\basse_stage_2_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_4\State 4\basse_stage_2_16mesures_160BPM		4608064
	947501454	batterie_stage_1_16mesures_160BPM	C:\Users\vpers\OneDrive\Documents\DoublyFluffy\DoublyFluffy\DoublyFluffy_WwiseProject\.cache\Mac\SFX\State_2\batterie_stage_1_16mesures_160BPM_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\State_juicy_music\State_2\State 2\batterie_stage_1_16mesures_160BPM		4608064

